               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076861,            0.024019,                   0,             0.29135,             0.42442,              0.2845,             0.08188,            0.047148,           0.0090038,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.048736,            0.018622,                   0,             0.52244,             0.62543,             0.57442,             0.29592,            0.035359,           0.0075299,                   0,            0.039754,           0.0063278,           0.0063278
                   2,            0.042945,            0.017025,                   0,             0.58767,             0.66085,             0.64277,             0.34803,              0.0351,           0.0069507,                   0,            0.009095,           0.0090016,           0.0090016
                   3,            0.039429,            0.016685,                   0,               0.671,             0.66403,             0.71022,             0.38115,            0.033962,           0.0071467,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.036532,            0.015841,                   0,              0.6222,              0.6938,             0.66121,             0.36189,            0.028211,           0.0073857,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.033999,            0.015378,                   0,              0.5915,              0.7093,               0.688,             0.39857,            0.027373,            0.006717,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.032616,            0.015128,                   0,             0.70851,             0.77713,              0.7918,             0.45868,              0.0285,           0.0066574,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.030883,            0.014584,                   0,             0.75285,             0.83527,             0.83568,             0.50339,            0.025464,           0.0062736,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.029069,            0.014051,                   0,             0.72591,             0.81589,             0.81917,             0.51616,            0.024982,           0.0061933,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.028008,              0.0137,                   0,             0.73557,              0.8356,             0.82009,             0.51833,            0.024539,           0.0060428,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.028596,            0.013516,                   0,             0.78666,             0.81202,             0.85925,             0.55372,            0.022961,           0.0057678,                   0,            0.005545,            0.005545,            0.005545
                  11,             0.02659,            0.013158,                   0,             0.80307,             0.83774,             0.85279,             0.57646,            0.022188,           0.0057169,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.025993,            0.012627,                   0,             0.78947,              0.8469,             0.85795,              0.5718,            0.022353,           0.0056591,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.025339,            0.012328,                   0,             0.80628,              0.8469,             0.87573,             0.59648,            0.020997,           0.0055848,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.024625,            0.012251,                   0,             0.83128,             0.85465,             0.88691,             0.60059,            0.021679,           0.0054694,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.023981,            0.012146,                   0,             0.81113,             0.87984,              0.9028,             0.62822,            0.020088,           0.0054429,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.02336,            0.011887,                   0,             0.84082,             0.87597,             0.91795,             0.64227,            0.019762,           0.0052139,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.023347,            0.011653,                   0,             0.82904,             0.89535,             0.90936,             0.64876,            0.019731,           0.0052644,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.022541,            0.011475,                   0,             0.86229,             0.89341,              0.9241,             0.65313,            0.019395,           0.0051229,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.021645,            0.011231,                   0,             0.86735,             0.88566,             0.92559,             0.66195,            0.019179,           0.0051566,                   0,             0.00109,             0.00109,             0.00109
